"";"study";"msigdb";"random";"event";"cancer";"os";"dfs";"dss";"dmfs";"nGenes";"eventSigs.rdx";"fracSignifGenes.pval";"eventGenes.rdx";"nSamples";"gse";"msigdb.death";"msigdb.relapse";"random.death";"random.relapse";"genes.death";"genes.relapse"
"GSE28026-at-rt";"GSE28026-at-rt";0,2488860598345;0,225502781343603;"os";"teratoid-rhabdoid";17;NA;NA;NA;20027;"death";0,0699056274030059;"death";17;"GSE28026-at";0,2488860598345;NA;0,225502781343603;NA;0,0699056274030059;NA
"LAML";"LAML";0,240552016985138;0,225370251126851;"os";"leukemia";172;NA;NA;NA;20501;"death";0,0980117749252003;"death";172;"LAML";0,240552016985138;NA;0,225370251126851;NA;0,0980117749252003;NA
"HNSC";"HNSC";0,310988544760288;0,22457264957265;"os";"head and neck";302;NA;NA;NA;20501;"death";0,212379883908102;"death";302;"HNSC";0,310988544760288;NA;0,22457264957265;NA;0,212379883908102;NA
"GSE11121-breast";"GSE11121-breast";0,244972186563971;0,216095045953822;"dmfs";"breast";NA;NA;NA;200;12495;"relapse";0,171188475390156;"relapse";200;"GSE11121";NA;0,244972186563971;NA;0,216095045953822;NA;0,171188475390156
"GSE6532-GPL570-breast";"GSE6532-GPL570-breast";0,245487364620939;0,186386085462744;"dmfs";"breast";NA;87;NA;87;19944;"relapse";0,081026875250702;"relapse";87;"GSE6532-GPL570";NA;0,245487364620939;NA;0,186386085462744;NA;0,081026875250702
"GSE20685-breast";"GSE20685-breast";0,275971956660293;0,184131090987495;"dmfs";"breast";NA;NA;NA;327;18922;"relapse";0,156325969770637;"relapse";327;"GSE20685";NA;0,275971956660293;NA;0,184131090987495;NA;0,156325969770637
"READ";"READ";0,14743317776835;0,179700854700855;"os";"rectum";72;NA;NA;NA;20501;"death";0,0703380322911078;"death";72;"READ";0,14743317776835;NA;0,179700854700855;NA;0,0703380322911078;NA
"GSE9195-breast";"GSE9195-breast";0,18432788277766;0,177582134421301;"dmfs";"breast";NA;77;NA;77;19944;"relapse";0,104843561973526;"relapse";77;"GSE9195";NA;0,18432788277766;NA;0,177582134421301;NA;0,104843561973526
"GSE16432-GPL8651-leukemia";"GSE16432-GPL8651-leukemia";0,162332032943216;0,177426636568849;"os";"leukemia";45;NA;NA;NA;12779;"death";0,112450113467407;"death";45;"GSE16432-GPL8651";0,162332032943216;NA;0,177426636568849;NA;0,112450113467407;NA
"GSE4475-lymphoma";"GSE4475-lymphoma";0,196794871794872;0,175552085656926;"os";"lymphoma";159;NA;NA;NA;12714;"death";0,132688375019663;"death";159;"GSE4475";0,196794871794872;NA;0,175552085656926;NA;0,132688375019663;NA
"GSE2034-breast";"GSE2034-breast";0,23951198630137;0,161471181879345;"dmfs";"breast";NA;NA;NA;286;12495;"relapse";0,170614596670935;"relapse";286;"GSE2034";NA;0,23951198630137;NA;0,161471181879345;NA;0,170614596670935
"GSE37745-nsclc";"GSE37745-nsclc";0,202588035638524;0,159948542024014;"os";"lung";196;NA;NA;NA;20184;"death";0,0796175188267935;"death";196;"GSE37745";0,202588035638524;NA;0,159948542024014;NA;0,0796175188267935;NA
"GSE17674-ewing-sarcoma";"GSE17674-ewing-sarcoma";0,146191385529387;0,140992725716731;"os";"bone";32;44;NA;NA;20027;"death";0,113696509711889;"death";32;"GSE17674-ewing";0,146191385529387;NA;0,140992725716731;NA;0,113696509711889;NA
